scene_index,view_index,object_segmentation_id,object_code,pose_rank,source_candidate_index,score,selection_filter_tier,final_table_clearance_m,final_non_target_clearance_m
0,1,3,sem-CanOpener-ef6762a35438931aec2282dd8bc87a,0,88,22.027006149291992,official_training_strict_pregrasp_fallback,-0.028587525710463524,0.003999999724328518
0,1,3,sem-CanOpener-ef6762a35438931aec2282dd8bc87a,1,123,21.170717239379883,official_training_strict_pregrasp_fallback,-0.031282939016819,0.003999999724328518
0,1,11,sem-Notepad-491731fae7b58f4cc2e054c56e9a85a,0,289,14.987822532653809,official_training_strict_pregrasp_fallback,-0.030957814306020737,0.003999999724328518
0,1,11,sem-Notepad-491731fae7b58f4cc2e054c56e9a85a,1,191,14.834033012390137,official_training_strict_pregrasp_fallback,-0.026225682348012924,0.003999999724328518
0,1,14,sem-Ashtray-2b210ae3bfa1abe43da807e9c1c58ac0,0,381,23.12787437438965,enhanced_full_hand_and_path,0.06748653948307037,0.003999999724328518
0,1,14,sem-Ashtray-2b210ae3bfa1abe43da807e9c1c58ac0,1,435,21.529396057128906,enhanced_full_hand_and_path,0.020562736317515373,0.003999999724328518
0,1,33,sem-Dog-2526b1f358f773034203f59b4fda924b,0,575,26.135818481445312,official_training_strict_pregrasp_fallback,-0.02755928598344326,0.003999999724328518
0,1,33,sem-Dog-2526b1f358f773034203f59b4fda924b,1,577,25.99563217163086,official_training_strict_pregrasp_fallback,-0.027205992490053177,0.003999999724328518
0,1,37,sem-Hammer-405f308492a6f40d2c3380317c2cc450,0,842,23.225223541259766,enhanced_full_hand_and_path,0.05698657035827637,0.003999999724328518
0,1,37,sem-Hammer-405f308492a6f40d2c3380317c2cc450,1,718,23.21045684814453,enhanced_full_hand_and_path,0.06168350577354431,0.003999999724328518
0,1,52,sem-Pen-47e0235a83058335782611375da5ea9a,0,875,22.702106475830078,official_training_strict_pregrasp_fallback,-0.021281378343701363,-0.0009967366931959987
0,1,52,sem-Pen-47e0235a83058335782611375da5ea9a,1,995,21.70392608642578,official_training_strict_pregrasp_fallback,-0.015449455007910728,0.0009194383746944368
1,1,4,core-knife-3fb80a70e65eff5dd65ee87f16099336,0,156,26.647567749023438,official_training_strict_pregrasp_fallback,-0.04295777902007103,0.003999999724328518
1,1,4,core-knife-3fb80a70e65eff5dd65ee87f16099336,1,64,25.99563980102539,official_training_strict_pregrasp_fallback,-0.0380835235118866,0.003999999724328518
1,1,17,sem-Blender-1a6960ddfdd323ec494dc7b475c330b5,0,328,19.29837417602539,enhanced_full_hand_and_path,0.00028722919523715973,0.003621649695560336
1,1,17,sem-Blender-1a6960ddfdd323ec494dc7b475c330b5,1,236,13.022880554199219,enhanced_full_hand_and_path,0.002669842913746834,0.003999999724328518
1,1,28,sem-Clock-10a200395145c61aea2f5d52559debc,0,418,25.620094299316406,official_training_strict_pregrasp_fallback,-0.02879829704761505,0.003999999724328518
1,1,28,sem-Clock-10a200395145c61aea2f5d52559debc,1,430,23.84455680847168,official_training_strict_pregrasp_fallback,-0.018832167610526085,0.003999999724328518
1,1,47,sem-Microscope-3a6cd06d50e0f37e59ceafb827a4418d,0,514,25.364593505859375,enhanced_full_hand_and_path,0.04441371560096741,0.0019078445620834827
1,1,47,sem-Microscope-3a6cd06d50e0f37e59ceafb827a4418d,1,547,24.945947647094727,enhanced_full_hand_and_path,0.06076255440711975,0.003999999724328518
1,1,53,sem-Pencil-370867e6cf6f4ef8b5f19880cadbe491,0,780,24.841829299926758,official_training_strict_pregrasp_fallback,-0.021470224484801292,0.003999999724328518
